started,started,started,2020-03-06 07:43:00
1,0.2020926823614971,0.017856619553640485,2020-03-06 07:43:03
2,0.0071266434082748195,0.005088424251880497,2020-03-06 07:43:06
started,started,started,2020-03-06 07:44:38
1,0.17383430855916748,0.01603182137478143,2020-03-06 07:44:41
2,0.0069791931685403725,0.005088158417493105,2020-03-06 07:44:44
3,0.005199486825694429,0.005048748571425676,2020-03-06 07:44:47
4,0.005171865751596947,0.005101868126075715,2020-03-06 07:44:49
5,0.005156168278227461,0.005039677314925939,2020-03-06 07:44:52
6,0.005137743040298422,0.005005045677535236,2020-03-06 07:44:55
7,0.005119792256728871,0.004981624195352197,2020-03-06 07:44:58
8,0.005107780442909992,0.004911180876661092,2020-03-06 07:45:00
9,0.005092155006681139,0.005010862252674997,2020-03-06 07:45:03
10,0.0050836555702704275,0.0049016044940799475,2020-03-06 07:45:06
11,0.005076811117192744,0.005068415368441492,2020-03-06 07:45:09
12,0.005073604750255427,0.005037792783696204,2020-03-06 07:45:12
13,0.005071367901677252,0.004957642435329035,2020-03-06 07:45:14
14,0.005070248752475736,0.0049389247433282435,2020-03-06 07:45:17
15,0.005065075324927556,0.004929981892928481,2020-03-06 07:45:20
16,0.005064990383024651,0.004959197423886508,2020-03-06 07:45:22
17,0.0050646613058072665,0.00508853851351887,2020-03-06 07:45:25
18,0.005064572954008765,0.004823723022127524,2020-03-06 07:45:28
19,0.0050608316413292016,0.004793532920302823,2020-03-06 07:45:31
20,0.005061526819138873,0.004816158791072667,2020-03-06 07:45:34
21,0.005060106963381594,0.004949630354531109,2020-03-06 07:45:36
22,0.005058773780069876,0.004859742824919522,2020-03-06 07:45:39
23,0.005061414614584006,0.004949151538312435,2020-03-06 07:45:42
24,0.0050568298984926645,0.0047826606896705925,2020-03-06 07:45:45
25,0.005060521586870788,0.0050027864635922015,2020-03-06 07:45:47
26,0.005058993861171688,0.00485866836970672,2020-03-06 07:45:50
27,0.005056684131648207,0.004870620905421674,2020-03-06 07:45:53
28,0.0050583904995483925,0.004925404966343194,2020-03-06 07:45:56
29,0.005056191288621713,0.0048088174080476165,2020-03-06 07:45:58
30,0.005054296070300307,0.00509472016710788,2020-03-06 07:46:01
31,0.005056291389285672,0.00489649479277432,2020-03-06 07:46:04
32,0.005055517491600509,0.004914043645840138,2020-03-06 07:46:07
33,0.005054643816902494,0.004951845126925036,2020-03-06 07:46:09
34,0.005052830607808651,0.00493464435567148,2020-03-06 07:46:12
35,0.00505384930297204,0.0048857833608053625,2020-03-06 07:46:15
36,0.0050537147780497236,0.004856562707573175,2020-03-06 07:46:18
37,0.00505141715241715,0.0050476224278099835,2020-03-06 07:46:20
38,0.005052430011952917,0.00503211043542251,2020-03-06 07:46:23
39,0.005052092968955213,0.0049333866918459535,2020-03-06 07:46:26
40,0.005054161745183011,0.0050124795525334775,2020-03-06 07:46:29
41,0.005054146059663266,0.004964695835951716,2020-03-06 07:46:31
42,0.005054272845030782,0.004993582871975377,2020-03-06 07:46:34
43,0.005055050439934464,0.0049614987801760435,2020-03-06 07:46:37
44,0.0050521217144576585,0.004942124709486961,2020-03-06 07:46:40
45,0.005052043035864196,0.00502835086081177,2020-03-06 07:46:43
